Manx Gaelic,English,Category,Lessoon
braew,fine,Adjectives,1
çhing,sick,Adjectives,1
corree,angry,Adjectives,1
feer vie,very good,Adjectives,1
skee,tired,Adjectives,1
feayr,cold,Adjectives,1
çheh,hot,Adjectives,1
mie,good,Adjectives,1
beaghey,living,Verbs,1
laccal,wanting,Verbs,1
Purt le Moirrey,Port St Mary,Places,1
Doolish,Douglas,Places,1
ayns,in,Prepositions,1
agh,but,Conjunctions,1
kys?,how?,Question Words,1
fastyr mie,good afternoon,Greetings,1
bwo,bhoy (boy),Nouns,1
hene,self,Pronouns,1
red beg,a bit,Adjectives,1
gura mie ayd,thank you,Greetings,1
nish,now,Time,1
hee'm oo,see you,Greetings,1
Ta mee braew,I'm fine,Key Structures,1
Cha nel mee braew,I'm not fine,Key Structures,1
Vel oo braew?,Are you fine?,Key Structures,1
Kys t'ou?,How are you?,Key Structures,1
gobbragh,working,Verbs,2
Purt Çhiarn,Port Erin,Places,2
Rhumsaa,Ramsey,Places,2
Laksaa / Laksey,Laxey,Places,2
Purt ny Hinshey,Peel,Places,2
Balley Chashtal,Castletown,Places,2
son,because,Conjunctions,2
moghrey mie,good morning,Greetings,2
s'mie shen!,that's good!,Interjections,2
mie dy liooar,ok (good enough),Adjectives,2
slane lhiat,goodbye,Greetings,2
toiggal,understanding,Verbs,2
S'laik lhiam,I like,Key Structures,2
Cha laik lhiam,I don't like,Key Structures,2
Laik lhiat?,Do you like?,Key Structures,2
gee,eating,Verbs,3
giu,drinking,Verbs,3
goll,go,Verbs,3
cloie,playing,Verbs,3
jannoo,doing / making,Verbs,3
bee,food,Nouns,3
tey,tea,Nouns,3
caffee,coffee,Nouns,3
ushtey,water,Nouns,3
c'raad?,where,Question Words,3
nish,now,Time,3
dagh laa,every day,Time,3
lah,yessir/lad,Nouns,3
shen,that,Pronouns,3
Laik lhiat's...?,do YOU like...?,Key Structures,3
paart,some,Adjectives,3
moghrey jiu,this morning,Time,3
quoi shoh?,who's this?,Question Words,3
mee,I / me,Pronouns,3
oo,you,Pronouns,3
eh,he / him / it,Pronouns,3
ee,she / her / it,Pronouns,3
shin,we / us,Pronouns,3
shiu,you (plural),Pronouns,3
ad,they / them,Pronouns,3
moddey,dog,Nouns,4
kayt,cat,Nouns,4
eeast,fish,Nouns,4
daa-wheeyl,bike,Nouns,4
thie,house,Nouns,4
folt,hair,Nouns,4
aym,at me,Prepositions,4
ayd,at you,Prepositions,4
Ta kayt aym,I have a cat,Key Structures,4
Cha nel kayt aym,I don't have a cat,Key Structures,4
Ta kayt ayd,You have a cat,Key Structures,4
Cha nel kayt ayd,You don't have a cat,Key Structures,4
Vel kayt ayd?,Do you have a cat?,Key Structures,4
Nagh vel kayt ayd?,Don't you have a cat?,Key Structures,4
